0.001
[0.5631 0.4634]
[0.2804 0.6079]
[0.2847 0.6056]
[0.2913 0.6043]
[0.2983 0.6038]
[0.3019 0.6049]
[0.3068 0.6061]
[0.31   0.6084]
[0.3139 0.6096]
[0.318  0.6133]
[0.3209 0.6178]
[0.323  0.6233]
[0.3245 0.6279]
[0.3275 0.6319]
[0.3279 0.6387]
[0.3285 0.6444]
[0.3296 0.6491]
[0.3303 0.6544]
[0.3314 0.6599]
[0.3312 0.6646]
