0.001
[0.4953 0.4537]
[0.23   0.5777]
[0.2868 0.5565]
[0.3655 0.5272]
[0.4411 0.4833]
[0.508  0.4615]
[0.5409 0.4614]
[0.5718 0.4569]
[0.5934 0.4655]
[0.6128 0.4524]
[0.6152 0.4492]
[0.6245 0.4734]
[0.6299 0.4892]
[0.6361 0.5035]
[0.637  0.5114]
[0.6398 0.5204]
[0.642  0.5283]
[0.6425 0.5366]
[0.6465 0.5514]
[0.6495 0.5692]
