0.0001
[0.416  0.5105]
[0.2374 0.5829]
[0.2402 0.5815]
[0.2502 0.5782]
[0.2533 0.5756]
[0.2639 0.5675]
[0.2658 0.5659]
[0.2669 0.565 ]
[0.2686 0.5647]
[0.2805 0.5486]
[0.2897 0.5459]
[0.2922 0.5445]
[0.2943 0.5437]
[0.2977 0.5437]
[0.308  0.5426]
[0.3115 0.5424]
[0.3138 0.54  ]
[0.3161 0.5388]
[0.3284 0.5297]
[0.3315 0.5286]
