0.0001
[0.518  0.4597]
[0.1442 0.6746]
[0.1457 0.6735]
[0.1465 0.6726]
[0.1472 0.6722]
[0.1481 0.6726]
[0.1484 0.6718]
[0.1493 0.6717]
[0.15   0.6712]
[0.1506 0.6699]
[0.1514 0.6697]
[0.1521 0.6694]
[0.1528 0.6697]
[0.1538 0.6688]
[0.1545 0.6677]
[0.1558 0.6667]
[0.1568 0.666 ]
[0.1578 0.6659]
[0.1587 0.6647]
[0.1598 0.6646]
