0.001 16
[0.5124 0.4748]
[0.518 0.514]
[0.6284 0.9324]
[0.708  0.9628]
[0.7668 0.8956]
[0.7512 0.9012]
[0.7356 0.9192]
[0.7544 0.9104]
[0.7792 0.9156]
[0.7656 0.9316]
[0.758  0.9452]
[0.7576 0.97  ]
[0.7544 0.972 ]
[0.7648 0.9672]
[0.776  0.9512]
[0.766  0.9524]
[0.7708 0.9716]
[0.766  0.9932]
[0.7712 0.9828]
[0.7792 0.9932]
