0.001 16
[0.4452 0.4962]
[0.4566 0.6613]
[0.6357 0.8384]
[0.7638 0.6469]
[0.8116 0.6342]
[0.8098 0.6297]
[0.7848 0.6582]
[0.7824 0.6955]
[0.7882 0.6825]
[0.8003 0.7099]
[0.8105 0.6629]
[0.793  0.6718]
[0.8071 0.6663]
[0.8071 0.6661]
[0.7898 0.6834]
[0.7875 0.705 ]
[0.7973 0.7014]
[0.8088 0.6914]
[0.8111 0.6815]
[0.8027 0.7096]
