0.001 1
[0.561  0.4453]
[0.565  0.4703]
[0.5189 0.5837]
[0.6566 0.5588]
[0.6825 0.581 ]
[0.7213 0.5775]
[0.7196 0.6433]
[0.7303 0.668 ]
[0.7059 0.7086]
[0.7114 0.7266]
[0.7303 0.7175]
[0.7    0.7609]
[0.7155 0.7545]
[0.7108 0.7601]
[0.7213 0.7428]
[0.7003 0.7687]
[0.7075 0.7781]
[0.6957 0.7843]
[0.6835 0.8041]
[0.6924 0.8008]
