0.001 4
[0.5522 0.4789]
[0.5566 0.5909]
[0.5497 0.7117]
[0.7392 0.5299]
[0.7633 0.5959]
[0.7693 0.6496]
[0.7818 0.6213]
[0.7915 0.6351]
[0.8176 0.6226]
[0.7854 0.6859]
[0.8113 0.6396]
[0.8068 0.6405]
[0.7856 0.6767]
[0.7865 0.674 ]
[0.7848 0.7042]
[0.788  0.7044]
[0.7846 0.6912]
[0.768  0.7255]
[0.7815 0.7166]
[0.7951 0.701 ]
